0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:01:19 -0300] "POST /senhor-financas/rest/usuario/logar HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:01:32 -0300] "OPTIONS /senhor-financas/rest/receita/cadastrar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:01:32 -0300] "POST /senhor-financas/rest/receita/cadastrar HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:01:41 -0300] "POST /senhor-financas/rest/receita/cadastrar HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:01:44 -0300] "OPTIONS /senhor-financas/rest/receita/listar/3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:01:44 -0300] "GET /senhor-financas/rest/receita/listar/3 HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:01:55 -0300] "POST /senhor-financas/rest/receita/cadastrar HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:01:57 -0300] "GET /senhor-financas/rest/receita/listar/3 HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:05:26 -0300] "POST /senhor-financas/rest/usuario/logar HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:05:30 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:05:32 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:05:36 -0300] "OPTIONS /senhor-financas/rest/receita/excluir HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:05:36 -0300] "DELETE /senhor-financas/rest/receita/excluir HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:05:37 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:06:55 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:06:57 -0300] "DELETE /senhor-financas/rest/receita/excluir HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:06:58 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:07:07 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:07:07 -0300] "DELETE /senhor-financas/rest/receita/excluir HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:07:09 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:07:11 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:10:06 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:10:12 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:10:14 -0300] "DELETE /senhor-financas/rest/receita/excluir HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:10:17 -0300] "DELETE /senhor-financas/rest/receita/excluir HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:10:25 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:10:26 -0300] "DELETE /senhor-financas/rest/receita/excluir HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:10:27 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:10:28 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:10:35 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:10:37 -0300] "DELETE /senhor-financas/rest/receita/excluir HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:10:38 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [04/Dec/2023:19:11:26 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2005
